Table 2. Velocities of cGPS stations in the Taiwan area w.r.t. Paisha, Penghu (2007-2013)
Site	Lon. (ขX)	Lat. (ขX)	Vh (mm/yr)	Azi(ขX)		Vu (mm/yr)   Period (year)
KZN1    120.69798       23.94625        6.9กำ0.4        292.9กำ1.8      -4.8กำ1.6       2007~2014    
LAIG    120.7399        23.5294         27.1กำ0.7       280.6กำ1.1      4.2กำ2.6        2008.6~2014  
LANY    121.5581        22.03731        82.7กำ1         303.5กำ0.5      1.1กำ1.9        2007~2014    
LAOL    120.68729       22.41192        54กำ1.5         271.6กำ0.8      1.7กำ4.9        2007~2012    
LGUE    120.63538       22.9929         50.5กำ0.8       269.5กำ0.5      9.3กำ3.1        2007~2014    
LIKN    120.5279        22.75861        58.5กำ0.9       264.4กำ0.6      4.1กำ4.3        2007~2014    
LIUC    120.36907       22.34667        58.5กำ1.3       243.3กำ0.7      -1.7กำ4.3       2007~2013.9  
LIYU    120.7818        24.34306        1.8กำ0.9        260.5กำ15.9     7.7กำ3.2        2007~2014    
LNCH    120.40261       22.99458        24.6กำ0.5       254.2กำ0.5      12.1กำ1.3       2007~2014    
LNKO    121.37818       25.07637        3.7กำ0.4        22.4กำ5.9       -0.5กำ2.3       2007~2014    
LONT    121.13056       22.90631        44.4กำ1         298กำ1.1        3.6กำ2.1        2007~2014    
LOYE    120.7012        23.4686         24.6กำ0.7       283.4กำ1.2      0.9กำ2.2        2008.6~2014  
LSAN    121.18216       24.02934        25.7กำ0.6       297.4กำ0.9      6.4กำ1.7        2007~2014    
LTUN    121.77162       24.70003        14.1กำ0.5       116.9กำ1.3      -7.1กำ2.1       2007~2014    
LUGU    120.74769       23.75226        20.5กำ1.2       294.8กำ2.3      2กำ6.4          2007~2010.2  
LUKN    120.43513       24.06001        2.1กำ0.4        286.7กำ5.8      -6.6กำ1.9       2007~2014    
LUSN    121.18605       24.03519        25.9กำ1.2       293.4กำ1.5      0.9กำ3.4        2007.1~2014  
MATZ    119.92306       26.16939        1.1กำ0.4        236.3กำ12.5     -1กำ1.1         2007~2014    
MESN    120.82626       23.26363        33.5กำ0.6       276.7กำ0.5      7.8กำ2.2        2007~2014    
