>>time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019/7/24,35.9166667,-117.7166667,2.83,2.69,ml,37,37,0.08825,0.15,ci,ci38634959,2019-07-24T08:40:08.260Z,"17km E of Little Lake, CA",earthquake,0.17,0.95,0.095,25,automatic,ci,ci
2019/7/24,34.9908333,-116.461,1.75,3.03,ml,63,35,0.1471,0.15,ci,ci38634911,2019-10-11T20:12:25.040Z,"36km SE of Fort Irwin, CA",earthquake,0.1,0.34,0.126,172,reviewed,ci,ci
2019/7/24,35.6423333,-117.4505,2.53,2.55,ml,39,56,0.03153,0.19,ci,ci38634599,2019-07-24T06:50:11.140Z,"14km SSW of Searles Valley, CA",earthquake,0.23,0.35,0.169,25,automatic,ci,ci
2019/7/24,33.2933333,-116.2555,8.44,2.58,ml,80,19,0.1004,0.2,ci,ci38633999,2019-07-24T04:35:37.980Z,"12km ENE of Borrego Springs, CA",earthquake,0.18,0.7,0.132,26,automatic,ci,ci
2019/7/23,35.8891667,-117.7131667,8.93,3.65,mw,79,15,0.007717,0.16,ci,ci38632759,2020-02-12T22:01:28.022Z,"18km ESE of Little Lake, CA",earthquake,0.1,0.22,,4,reviewed,ci,ci
2019/7/23,36.182,-117.8848333,-0.33,2.52,ml,27,94,0.06871,0.2,ci,ci38632479,2019-07-23T22:35:34.481Z,"16km SE of Olancha, CA",earthquake,0.43,31.61,0.148,26,automatic,ci,ci
2019/7/23,35.7975,-117.6286667,8.3,2.54,ml,34,45,0.03119,0.23,ci,ci38631239,2019-07-23T17:31:12.392Z,"20km NNE of Ridgecrest, CA",earthquake,0.28,0.77,0.143,25,automatic,ci,ci
2019/7/23,36.1586667,-117.8788333,1.63,2.51,ml,24,56,0.04536,0.2,ci,ci38630599,2019-07-23T17:52:25.179Z,"14km NNE of Coso Junction, CA",earthquake,0.39,0.6,0.176,26,automatic,ci,ci
2019/7/23,35.6653333,-117.4958333,0.38,2.71,ml,35,41,0.05875,0.29,ci,ci38630103,2019-07-23T13:12:05.990Z,"14km SW of Searles Valley, CA",earthquake,0.3,31.61,0.125,27,automatic,ci,ci
2019/7/23,35.7023333,-117.535,8.48,2.59,ml,37,49,0.0848,0.29,ci,ci38629871,2019-07-23T12:12:14.113Z,"14km WSW of Searles Valley, CA",earthquake,0.38,1.08,0.301,23,automatic,ci,ci
2019/7/23,35.3813333,-117.2426667,2.53,2.82,ml,43,70,0.02731,0.15,ci,ci38629847,2019-07-27T10:45:39.245Z,"36km E of Johannesburg, CA",earthquake,0.16,0.24,0.152,218,reviewed,ci,ci
2019/7/23,35.779,-117.6066667,5.82,2.69,ml,35,55,0.03741,0.19,ci,ci38629599,2019-07-23T13:26:47.789Z,"18km W of Searles Valley, CA",earthquake,0.22,0.77,0.151,25,automatic,ci,ci
2019/7/23,35.625,-117.4266667,5.51,4.15,mw,101,25,0.04011,0.16,ci,ci38628799,2020-02-10T20:19:33.751Z,"16km S of Searles Valley, CA",earthquake,0.09,0.19,,6,reviewed,ci,ci
2019/7/23,35.7456667,-117.558,5.46,3.88,mw,70,44,0.02582,0.17,ci,ci38627095,2020-02-12T21:53:19.846Z,"14km W of Searles Valley, CA",earthquake,0.12,0.4,,6,reviewed,ci,ci
