# lon lat depth mag.
122.647 23.653 1.4 3.89
121.699 24.022 52.9 3.31
121.103 22.866 10.5 3.0
121.659 23.680 32.0 3.18
121.990 24.892 93.1 3.15
122.437 24.871 15.7 3.1
122.421 24.878 15.2 3.18
122.417 24.807 5.5 3.12
122.276 24.895 11.2 3.1
122.375 24.782 5.5 3.14
122.535 24.459 8.2 3.59
121.584 23.433 27.2 3.89
121.863 24.260 1.4 3.21
121.476 22.891 27.7 4.7
121.439 22.965 5.6 3.77
121.430 22.953 5.1 3.07
120.094 22.740 34.6 3.24
122.343 24.806 3.0 3.39
121.439 22.946 5.6 3.51
122.390 23.759 19.4 3.85
122.391 23.802 13.2 3.63
122.284 24.193 29.8 3.55
121.310 22.205 24.2 3.12
120.954 21.906 57.8 3.89
121.255 22.135 27.9 3.46
119.906 22.180 42.6 4.31
121.708 24.621 67.1 3.0
122.179 24.145 3.7 3.6
121.753 23.894 15.0 3.15
122.068 23.865 19.1 3.47
121.916 23.396 20.8 3.37
122.002 24.348 29.6 3.04
119.942 22.173 47.7 3.99
122.129 24.832 86.0 4.27
122.918 25.088 99.7 3.78
120.658 22.760 30.7 3.01
122.113 23.593 16.9 3.59
121.153 22.528 55.7 3.22
122.199 24.199 1.8 3.19
121.773 23.947 12.9 3.39
121.638 23.158 28.0 3.33
121.076 23.151 2.6 3.31
121.832 24.611 73.0 3.03
120.615 22.701 20.2 3.01
121.597 23.846 18.2 3.38
122.020 24.330 123.9 3.88
122.219 24.853 85.8 3.27
122.160 24.137 1.9 3.63
122.077 24.537 28.1 3.96
122.735 23.920 20.6 3.64
121.990 24.357 22.1 4.55
122.002 24.350 28.2 3.17
121.945 24.351 19.0 3.1
121.964 24.354 20.3 3.08
122.218 24.543 43.9 3.09
121.321 21.902 13.7 3.97
121.376 24.715 26.1 3.07
121.976 24.914 113.5 3.28
121.701 24.047 1.4 3.08
121.686 24.065 3.0 3.23
122.103 24.360 2.0 3.05
121.760 23.915 21.2 3.27
121.854 24.276 10.8 3.0
121.982 24.389 27.6 3.17
121.687 24.075 0.3 3.77
121.750 23.997 30.3 3.41
122.090 24.198 1.7 3.52
121.990 24.347 22.8 3.1
121.611 23.579 24.1 3.19
122.528 24.705 89.7 4.08
121.373 23.202 27.4 3.85
122.045 24.283 7.3 3.27
121.676 24.050 3.6 3.03
121.706 24.014 0.9 3.95
121.648 24.073 3.7 3.08
121.666 24.063 3.8 3.68
121.614 23.771 27.7 3.73
121.675 24.030 4.6 3.13
122.212 24.247 4.6 3.05
122.777 24.430 72.7 3.36
121.940 24.354 24.0 3.22
121.695 23.962 45.5 3.36
121.651 24.003 30.6 3.24
121.991 24.369 11.0 3.93
122.379 23.915 3.5 4.12
121.932 24.133 10.7 3.33
122.085 24.129 6.4 3.29
121.725 23.951 25.2 3.1
121.459 23.864 2.0 3.38
120.666 22.611 11.9 3.01
122.016 24.795 1.4 3.64
122.463 24.580 22.3 3.75
122.163 24.259 3.3 3.05
121.755 23.870 38.2 3.82
120.686 23.180 29.2 3.05
121.961 25.098 22.5 3.69
122.007 24.790 1.5 3.1
122.047 24.373 5.9 3.33
122.337 24.757 81.1 3.2
121.861 24.011 18.2 3.2
121.553 22.214 102.1 3.97
122.027 24.719 55.6 4.03
121.789 24.069 62.2 3.66
121.705 24.136 24.4 3.79
122.366 24.863 12.8 3.02
122.057 24.185 30.5 3.02
122.070 24.805 6.8 3.24
122.469 23.995 5.1 3.49
121.531 23.281 23.7 3.64
121.668 24.013 28.0 3.11
121.972 24.381 22.2 3.0
121.922 24.296 22.0 3.83
122.193 24.225 0.7 3.26
121.904 24.286 16.4 3.15
121.749 23.899 17.0 3.09
121.940 24.296 18.2 3.66
122.258 24.518 68.4 3.02
122.345 24.845 13.2 3.7
122.137 24.833 1.5 3.23
121.524 23.251 29.9 3.48
122.403 24.451 35.0 3.12
120.722 23.887 8.9 3.07
122.349 24.584 42.5 3.74
121.744 24.243 25.3 3.0
121.024 22.501 8.0 4.57
