> AF-AN     
131.256     -50.604                  
139.645     -50.279                  
139.733     -51.174                  
140.323     -51.798                  
140.4       -52.274                  
140.478     -52.75                   
140.584     -53.504                  
146.881     -54.695                  
147.043     -55.175                  
147.206     -55.654                  
147.373     -56.132                  
147.545     -56.61                   
147.721     -57.088                  
148.806     -57.436                  
149.15      -58.104                  
149.398     -58.552                  
149.652     -58.999                  
150.733     -59.475                  
151.008     -59.944                  
153.639     -59.93                   
154.294     -60.681                  
154.981     -61.429                  
155.701     -62.174                  
> AN-NZ
-76.006     -45.659                  
-76.675     -45.643                  
-78.206     -44.411                  
-78.893     -44.545                  
-79.586     -44.666                  
-80.281     -44.782                  
-81.106     -44.876                  
-82.509     -42.861                  
-83.827     -41.125                  
-84.487     -41.191                  
-85.148     -41.253                  
-86.24      -41.393                  
-87.417     -41.273                  
-88.447     -41.319                  
-89.25      -41.378                  
-90.088     -41.058                  
-90.739     -41.082                  
-91.658     -38.866                  
-92.34      -38.918                  
-93.075     -38.429                  
-94.13      -37.001                  
-94.91      -36.985                  
-95.689     -36.965                  
-96.551     -36.921                  
-97.402     -36.294                  
-98.417     -36.193                  
-99.532     -36.133                  
-100.645    -36.063                  
-101.286    -35.997                  
-101.926    -35.927                  
-102.565    -35.854                  
-103.202    -35.778                  
-103.998    -35.694                  
-104.793    -35.605                  
-105.391    -35.524                  
-105.988    -35.439                  
-106.666    -35.394                  
-107.343    -35.345                  
-108.071    -35.24                   
> PA-AN
161.228     -61.457                  
161.975     -61.763                  
162.579     -62.213                  
165.103     -62.077                  
165.653     -62.473                  
165.969     -62.668                  
166.62      -63.087                  
169.238     -62.446                  
169.605     -62.676                  
170.068     -62.972                  
170.441     -63.149                  
171.009     -63.447                  
171.64      -63.807                  
172.164     -64.097                  
172.52      -64.256                  
175.582     -63.984                  
176.063     -64.188                  
176.549     -64.41                   
176.819     -64.506                  
177.338     -64.736                  
177.889     -64.975                  
178.24      -65.079                  
178.759     -65.274                  
179.381     -65.477                  
179.963     -65.739                  
-179.197    -65.986                  
-175.729    -65.183                  
-175.07     -65.505                  
-171.3      -64.356                  
-166.608    -62.49                   
-166.199    -62.606                  
-165.149    -63.007                  
-162.061    -62.394                  
-161.338    -62.614                  
-159.888    -62.595                  
-158.394    -62.789                  
-157.601    -63.07                   
-154.324    -61.776                  
