> AF-AN
-16.086     -44.132                   
-15.924     -44.58                    
-15.76      -45.028                   
-14.894     -45.371                   
-13.81      -45.797                   
-13.571     -46.688                   
-10.483     -47.126                   
-10.296     -47.649                   
-10.104     -48.172                   
-9.909      -48.694                   
-8.139      -48.961                   
-7.961      -49.27                    
-7.433      -50.001                   
-5.169      -50.216                   
-4.943      -50.675                   
-4.713      -51.133                   
-4.478      -51.591                   
-3.956      -51.979                   
-3.447      -52.764                   
-2.92       -53.547                   
-1.382      -54.053                   
-0.915      -54.453                   
> AU-AN
69.96       -25.651                   
70.665      -25.912                   
71.135      -26.083                   
71.717      -26.386                   
72.008      -26.718                   
72.463      -27.146                   
73.123      -27.446                   
73.534      -27.57                    
73.968      -27.944                   
74.192      -28.541                   
74.592      -28.903                   
74.938      -29.328                   
75.364      -30.006                   
75.393      -30.24                    
75.797      -30.573                   
76.148      -30.97                    
76.395      -31.719                   
76.812      -32.09                    
77.233      -32.459                   
77.658      -32.828                   
77.352      -33.838                   
77.917      -34.324                   
78.442      -34.842                   
78.201      -35.683                   
78.69       -36.098                   
78.021      -37.483                   
78.182      -38.393                   
78.073      -39.005                   
78.002      -39.539                   
77.825      -40.326                   
78.484      -40.866                   
78.659      -40.872                   
79.319      -41.384                   
80.932      -41.13                    
81.752      -41.722                   
82.588      -42.309                   
85.859      -40.834                   
86.402      -41.129                   
86.95       -41.421                   
87.502      -41.71                    
88.488      -41.686                   
89.011      -41.944                   
89.537      -42.2                     
90.068      -42.454                   
90.603      -42.705                   
91.142      -42.953                   
91.686      -43.199                   
92.234      -43.443                   
92.786      -43.684                   
93.343      -43.922                   
93.904      -44.157                   
94.47       -44.39                    
94.926      -44.805                   
95.806      -45.141                   
95.842      -46.52                    
96.458      -46.772                   
97.08       -47.02                    
97.707      -47.265                   
98.34       -47.506                   
98.979      -47.744                   
100.202     -47.266                   
100.817     -47.465                   
101.436     -47.661                   
102.06      -47.853                   
102.688     -48.042                   
103.321     -48.228                   
103.959     -48.409                   
104.601     -48.588                   
105.247     -48.762                   
105.898     -48.933                   
106.692     -48.841                   
107.486     -49.015                   
108.24      -49.259                   
109.351     -49.523                   
110.472     -49.779                   
110.868     -49.829                   
111.129     -49.8                     
111.363     -49.93                    
111.666     -50.084                   
112.967     -50.2                     
114.362     -49.878                   
115.5       -49.974                   
116.256     -49.54                    
116.635     -49.271                   
117.523     -49.62                    
118.194     -49.865                   
118.547     -49.802                   
119.366     -49.938                   
120.842     -48.89                    
121.437     -49.62                    
121.866     -49.736                   
122.224     -49.846                   
122.553     -49.812                   
122.797     -49.729                   
123.013     -49.542                   
123.771     -49.122                   
124.007     -48.906                   
124.213     -48.848                   
124.607     -48.984                   
124.992     -49.153                   
125.125     -49.358                   
125.262     -49.598                   
126.434     -48.63                    
126.861     -48.698                   
127.143     -49.976                   
128.312     -50.159                   
129.412     -50.348                   
130.569     -50.525                   
131.515     -50.222                   
132.261     -50.223                   
133.465     -50.306                   
134.245     -50.347                   
135.026     -50.384                   
135.246     -50.209                   
136.226     -50.248                   
136.946     -50.22                    
137.7       -50.234                   
138.401     -50.231                   
139.11      -50.256                   
139.813     -51.838                   
140.659     -53.885                   
141.451     -54.053                   
142.25      -54.215                   
143.778     -54.234                   
144.282     -54.799                   
145.401     -54.756                   
147.902     -57.566                   
148.076     -57.527                   
150.006     -59.57                    
151.29      -60.413                   
152.473     -60.176                   
156.457     -62.914                   
157.97      -62.478                   
159.44      -62.026                   
160.865     -61.559                   
> AN-NZ
-77.661     -45.761                   
-77.764     -45.589                   
-77.99      -45.092                   
-81.935     -44.964                   
-82.138     -44.404                   
-82.351     -43.639                   
-83.448     -42.981                   
-83.454     -42.873                   
-83.604     -42.222                   
-83.716     -41.674                   
-87.336     -41.521                   
-90.054     -41.432                   
-91.391     -41.103                   
-91.476     -40.732                   
-91.512     -40.282                   
-91.548     -39.833                   
