==============================================================================================
There are 77 records found

Search criteria:
  Start: 1996-03-28		End: 2020-04-21
  6.0 <= ML <= 10 		0 <= Depth <= 999 		0 <= Plunge <= 90
  Archived Solutions

File Header:
Date, Time, Latitude, Longitude, CWB Depth, ML, strike1, dip1, slip1, strike2, dip2, slip2, m11, m22, m33, m12, m13, m23, Mrr, Mtt, Mff, Mrt, Mrf, Mtf, exponentexponent, M0, Mw, Centroid_depth, CLVD, ISO, misfit, gap, nsta, Paz, Ppl, Baz, Bpl, Taz, Tpl, QC
2002-09-16,00:03:30.74,25.1015,122.3875,175.67,6.80,143.11,42.14,-104.28,342.06,49.45,-77.42,0.262457,1.117183,-1.634367,0.610486,-0.155388,0.302182,-1.634367,0.262457,1.117183,-0.155388,-0.302182,-0.610486,24,1.57551e+24,5.40,164,9.5,-5.0,0.307,288.900,7,-47.824,79.768,153.798,9.526,63.176,3.701,B2
2003-06-10,08:40:32.5,23.5036,121.6991,32.31,6.48,230.82,22.39,138.31,0.29,75.33,72.90,0.396353,-2.247956,4.922580,2.146617,-0.829241,-6.491476,4.922580,0.396353,-2.247956,-0.829241,6.491480,-2.146620,24,7.88391e+24,5.87,34,17.2,11.2,0.288,213.200,7,103.956,28.337,4.748,16.526,-111.778,56.402,A3
2003-12-10,04:38:13.52,23.0666,121.3981,17.73,6.42,184.06,28.97,88.87,5.36,61.04,90.63,-0.033499,-1.062015,1.095513,0.085073,0.070465,-0.674547,1.095513,-0.033499,-1.062015,0.070465,0.674547,-0.085073,26,1.27742e+26,6.67,29,4.1,0.0,0.623,196.700,7,94.891,16.034,-174.951,0.547,-83.048,73.956,C1
2004-05-19,07:04:12.94,22.7135,121.3698,27.08,6.03,327.15,41.49,15.99,225.03,79.48,130.37,0.990950,-1.527196,0.533222,0.220701,-1.252956,0.783805,0.533222,0.990950,-1.527196,-1.252956,-0.783805,-0.220701,25,2.00805e+25,6.14,22,12.5,0.0,0.388,210.300,7,-74.957,23.618,36.216,39.558,172.534,41.202,B2
2004-10-15,04:08:50.18,24.4623,122.8516,91.03,7.10,207.91,19.59,14.04,104.65,85.33,109.04,-3.123368,1.892313,1.231055,2.135300,8.509216,2.184955,1.231055,-3.123368,1.892313,8.509216,-2.184950,-2.135300,25,9.44278e+25,6.59,94,12.9,0.0,0.200,263.300,7,177.745,37.493,-76.955,18.982,34.188,46.360,A2
2004-11-08,15:54:55.86,23.7948,122.7603,10.00,6.58,293.84,29.70,129.75,70.08,67.61,69.96,-1.886925,0.341609,1.545316,-0.059061,1.381861,-0.802830,1.545316,-1.886925,0.341609,1.381861,0.802830,0.059061,25,2.36435e+25,6.19,25,4.6,0.0,0.370,279.800,7,175.043,20.173,77.994,18.470,-51.073,62.076,B1
2004-11-11,02:16:44.5,24.3116,122.1580,27.26,6.09,297.34,35.07,135.08,66.56,66.06,63.56,-2.687676,0.507372,2.180304,-0.155762,1.525738,-1.391099,2.180304,-2.687676,0.507372,1.525738,1.391100,0.155762,24,3.22563e+24,5.61,29,9.7,0.0,0.259,252.900,7,175.774,16.968,77.963,24.007,-62.389,59.953,A1
2005-06-01,16:20:05.66,24.6366,122.0663,64.78,6.00,52.05,35.50,129.65,186.54,63.45,65.53,-0.245505,-0.782387,1.027892,0.525167,0.251434,0.784029,1.027892,-0.245505,-0.782387,0.251434,-0.784029,-0.525167,24,1.34841e+24,5.36,63,25.2,0.0,0.271,295.700,7,-65.803,15.041,-161.957,21.749,56.185,63.104,A3
2005-09-06,01:16:00.41,23.9581,122.2835,16.76,6.00,301.46,32.66,141.96,64.83,70.58,63.22,-2.923030,0.546165,2.376865,-0.403812,2.182903,-2.044721,2.376865,-2.923030,0.546165,2.182903,2.044720,0.403812,24,4.04413e+24,5.68,21,26.2,0.0,0.460,243.600,7,174.807,21.110,74.363,25.152,-60.058,56.145,B3
2006-04-01,10:02:19.54,22.8835,121.0806,7.20,6.23,176.99,72.39,9.61,84.05,80.84,162.16,0.231812,-0.393353,0.161541,1.965806,0.659564,0.276421,0.161541,0.231812,-0.393353,0.659564,-0.276421,-1.965810,25,2.11969e+25,6.15,23,4.8,0.0,0.512,173.400,7,131.481,5.821,-122.244,70.012,39.463,19.053,C1
