      lon        lat       Ve       Vn        Se       Sn      Cen     site
   239.39440   34.89315  -30.676   35.313    0.830    0.631   0.0088  LOSP_GPS
   241.33179   34.49598  -24.013   23.242    1.182    0.954  -0.1773  LOVE_GPS
   244.65733   32.35521  -17.075   27.344    0.700    0.675  -0.0335  LPUR_GPS
   239.93339   35.07511  -27.670   29.989    0.854    0.670  -0.0075  MADC_GPS
   242.56350   33.85630  -23.984   25.539    0.552    0.523  -0.0181  MATH_GPS
   244.75753   31.98796  -23.967   25.467    0.674    0.627  -0.0240  MAYR_GPS
   242.29423   34.74280  -11.407   17.295    1.892    1.249  -0.1377  MDAY_GPS
   242.76861   33.79598  -21.016   25.597    0.950    0.911  -0.0562  METZ_GPS
   243.11190   35.33139   -2.436    8.594    0.716    0.611  -0.0102  MOJM_GPS
   244.92507   32.55865   -3.687    0.455    0.769    0.781  -0.0405  MONT_GPS
   243.57797   32.89149  -25.616   26.163    0.566    0.539  -0.0185  MONP_GPS
   242.31133   34.60800  -12.830   12.830    1.812    2.285  -0.3282  MOOD_GPS
   240.69991   34.63547  -27.756   22.812    1.019    0.889  -0.0126  MUNS_GPS
   244.13819   33.63995   -2.282    2.436    1.094    1.114   0.0253  N125_GPS
   240.04065   35.50344  -15.729   20.580    0.974    0.987   0.0687  NAPO_GPS
   242.00058   34.34571  -24.974   20.126    2.686    2.221  -0.0164  NEST_GPS
   242.27019   33.51405  -28.375   31.013    0.704    0.603  -0.0312  NIGU_GPS
   244.27481   32.64769  -20.798   26.069    0.675    0.644  -0.0490  O225_GPS
   242.40231   33.84689  -21.571   26.932    0.838    0.894  -0.0478  OAKD_GPS
   241.39863   34.32989  -27.159   25.794    0.650    0.607  -0.0042  OAT2_GPS
   244.20409   32.78968  -22.676   25.657    0.661    0.637  -0.0317  OCOT_GPS
   243.99863   32.73337  -25.661   26.681    0.766    0.814  -0.0325  OCTI_GPS
   242.43519   33.37480  -35.796   31.318    3.707    3.507  -0.0292  0301_GPS
   243.29057   34.19238   -7.727   21.666    1.967    1.337  -0.0071  ONYX_GPS
   244.59342   32.91683   -1.807    3.289    0.687    0.670  -0.0360  ORIE_GPS
   240.14669   35.60326  -10.653   14.638    1.223    0.832  -0.0780  P807_GPS
   243.99154   33.61199   -7.809    7.007    0.718    0.729  -0.0279  PAIN_GPS
   245.25304   33.45056    0.023   -4.144    3.450    2.351   0.0728  PAVE_GPS
   243.60997   34.15299    5.538    4.617    1.830    1.466   0.0433  PAXU_GPS
   242.07780   34.51189  -14.508   18.534    1.100    0.871  -0.1088  PEAR_GPS
   246.48038   31.35376   -1.973   -0.182    0.882    0.761   0.0070  PENA_GPS
   241.39918   34.33020  -26.629   26.352    1.119    1.041  -0.0100  PICO_GPS
   243.54204   33.61190  -13.501   18.706    0.703    0.870   0.0029  PIN1_GPS
   242.93214   34.45368  -15.629   15.539    1.663    1.551  -0.0648  POIN_GPS
   241.84280   35.08698  -11.215   13.308    2.362    3.672   0.0127  PORT_GPS
   239.70178   35.34549  -27.036   30.422    0.633    0.576  -0.0161  POZO_GPS
   243.51116   33.83919   -9.671   16.573    0.778    0.786   0.0101  PSAR_GPS
   242.31183   34.12095  -23.125   22.694    0.985    0.836  -0.0273  PSEB_GPS
   241.94714   34.11351  -26.081   23.492    1.738    1.917  -0.0098  PSWB_GPS
   241.19387   34.00108  -29.287   30.975    1.441    1.105  -0.1922  PTDU_GPS
   241.59698   33.74329  -29.827   31.437    0.541    0.515  -0.0180  PVER_GPS
   243.66950   33.81664  -10.102   12.284    1.998    1.564  -0.4199  RAMO_GPS
   244.04231   31.97299  -25.737   26.700    1.540    1.657   0.0694  RAYO_GPS
   239.73988   35.60452  -22.126   26.870    0.700    0.603  -0.0280  REDH_GPS
   243.93930   33.44063  -11.180   15.764    0.707    0.716  -0.0247  ROBO_GPS
   243.39047   33.61071  -16.648   21.516    0.539    0.507  -0.0235  ROCH_GPS
